ProductRegNo,SLPID,TAC,RegType,SerialNo,productCategory,modelID,modelDescription,consigneeName
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,J08V563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,9HDV563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,9MFW563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,BMFW563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,2X5V563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,2LGW563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,8LGW563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,9LGW563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,FR0Y563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/759992,CIDF15000022,RCCQ/69F/0420/S(20-1660),SerialNo,DR0Y563,NOTEBOOK (HYBRID-ICT),,"P130G [WLAN & Bluetooth Module: 9462NGW, AX201NGW, QCNFA344A, AX200NGW & QCNFA435]",DELL GLOBAL BUSINESS CENTER SDN. BHD
