SLPID,ExpiryDate,SLPID_owner,principal_certificate,ApproveDate
HIDF15000210,2021-11-08T00:00:00,DIVERSIFIED GATEWAY BERHAD,CIENA,2015-06-03T00:00:00
CIDF15000026,2016-04-26T00:00:00,INGRAM MICRO MALAYSIA SDN. BHD.,ASUSTEK COMPUTER INC,2015-04-27T00:00:00
CIDF15000026,2021-06-04T00:00:00,ASUSTEK COMPUTER MALAYSIA SDN. BHD.,ASUSTEK COMPUTER INC,2015-03-16T00:00:00
HIDF16000117,2022-03-24T00:00:00,DYNAMICS DISTRIBUTION SDN. BHD.,ASUSTEK COMPUTER INC,2016-06-15T00:00:00
CIDF15000026,2022-03-15T00:00:00,SERVEX (MALAYSIA) SDN. BHD.,ASUSTEK COMPUTER INC,2015-03-16T00:00:00
CIDF15000026,2022-03-10T00:00:00,DYNAMICS DISTRIBUTION SDN. BHD.,ASUSTEK COMPUTER INC,2015-03-16T00:00:00
CIDF15000026,2022-03-15T00:00:00,ECS ASTAR SDN. BHD.,ASUSTEK COMPUTER INC,2015-03-16T00:00:00
CIDF15000026,2022-03-15T00:00:00,BUILD TECHNOLOGY SUPPLY SDN. BHD.,ASUSTEK COMPUTER INC,2015-03-16T00:00:00
CIDF15000026,2020-03-27T00:00:00,SDS DISTRIBUTION SDN BHD,ASUSTEK COMPUTER INC,2015-03-16T00:00:00
CIDF15000026,2022-03-25T00:00:00,ADVANCENET TECHNOLOGY SDN. BHD.,ASUSTEK COMPUTER INC,2015-03-16T00:00:00
CIDF15000026,2016-03-15T00:00:00,AV FUTURE LINK (KL) SDN. BHD.,ASUSTEK COMPUTER INC,2015-03-16T00:00:00
HIDF16000060,2020-01-14T00:00:00,ACHIEVA TECHNOLOGY SDN. BHD.,ASUSTEK COMPUTER INC,2016-03-31T00:00:00
CIDF15000026,2019-08-26T00:00:00,ACESSE (M) SDN BHD,ASUSTEK COMPUTER INC,2018-08-27T00:00:00
CIDF15000026,2020-04-02T00:00:00,ACHIEVA TECHNOLOGY SDN. BHD.,ASUSTEK COMPUTER INC,2016-03-31T00:00:00
CIDF15000026,2021-07-02T00:00:00,TAKNET SYSTEMS SDN BHD,ASUSTEK COMPUTER INC,2020-07-03T00:00:00
HIDM15000386,2016-07-21T00:00:00,UPS SCS (MALAYSIA) SERVICES SDN. BHD.,JUNIPER NETWORK,2015-07-22T00:00:00
HIDF15000472,2018-03-12T00:00:00,IC MICROSYSTEMS SDN BHD,IC MICROSYSTEMS SDN BHD,2015-09-08T00:00:00
HIDF15000028,2022-07-18T00:00:00,AZ-TECHNOLOGY SDN. BHD.,AZTECHSYSTEMS LTD,2015-03-19T00:00:00
HIDF15000238,2018-09-07T00:00:00,PANPHIL SDN. BHD.,PHILIPS ELECTRONICS HONG KONG LTD.,2015-06-09T00:00:00
HIDF15000269,2022-07-14T00:00:00,O'CONNOR'S ENGINEERING SDN. BHD.,OES PRIVATE LIMITED,2015-06-16T00:00:00
HIDF15000287,2016-06-18T00:00:00,BCC TECHNOLOGY SDN BHD,SONIM TECHNOLOGIES INC.,2015-06-19T00:00:00
HIDF20000186,2021-10-12T00:00:00,MASTONE TRADING SDN BHD,YUJIE CAR ACCESSORIES LTD.,2020-10-13T00:00:00
HIDF15000513,2018-02-02T00:00:00,GLOBAL SMARTSAT SDN BHD,ASIA PACIFIC SATELITTE COMMUNICATIONS INC,2015-10-13T00:00:00
HIDF15000054,2021-05-22T00:00:00,PIONEER TECHNOLOGY (M) SDN BHD,PIONEER CORPORATION,2015-03-20T00:00:00
CIDF15000088,2021-05-22T00:00:00,PIONEER TECHNOLOGY (M) SDN BHD,PIONEER CORPORATION,2015-04-08T00:00:00
CIDF15000122,2021-07-13T00:00:00,NIKON (MALAYSIA) SDN BHD,NIKON CORPORATION,2015-04-23T00:00:00
HIDF15000126,2022-04-25T00:00:00,JVCKENWOOD MALAYSIA SDN. BHD.,JVC KENWOOD CORPORATION (Kanagawa),2015-04-24T00:00:00
HIDF18000116,2020-05-14T00:00:00,CARDBIZ PAYMENT SERVICES SDN. BHD.,"CASTLES TECHNOLOGY CO., LTD",2018-05-16T00:00:00
HIDF15000012,2021-06-23T00:00:00,ANSARCOMP (M) SDN. BHD.,GOOGLE Inc,2015-03-02T00:00:00
HIDF15000154,2021-09-20T00:00:00,TC AUTO TOOLING SDN. BHD.,"GNSD CO., LTD",2015-05-13T00:00:00
CIDF15000557,2018-01-22T00:00:00,MEASAT BROADCAST NETWORK SYSTEMS SDN. BHD.,WISTRON NEWEB CORPORATION,2015-11-23T00:00:00
HIDF15000011,2022-06-06T00:00:00,3M MALAYSIA SDN. BHD.,3M Company,2015-03-02T00:00:00
HIDF15000077,2022-05-04T00:00:00,KONICA MINOLTA BUSINESS SOLUTIONS (M) SDN. BHD.,"KONICA MINOLTA BUSINESS TECHNOLOGIES,INC",2015-04-02T00:00:00
HIDF15000055,2021-05-12T00:00:00,POWERCOMP AUTOMATION SDN BHD,"CASIO COMPUTER CO., LTD",2015-03-20T00:00:00
HIDF15000580,2021-12-14T00:00:00,POWERCOMP DISTRIBUTION SDN BHD,"CASIO COMPUTER CO., LTD",2015-12-18T00:00:00
HIDF16000092,2018-05-15T00:00:00,MARCO HERITAGE (M) SDN BHD,"CASIO COMPUTER CO., LTD",2016-05-17T00:00:00
HIDF15000087,2016-04-07T00:00:00,ALCOM COMMUNICATIONS SDN BHD,"Motorola Solutions (Shanghai) Co., Ltd.",2015-04-08T00:00:00
HIDF16000157,2017-08-09T00:00:00,UID SOLUTIONS SDN BHD,Catchwell Inc,2016-08-10T00:00:00
CIDF15000444,2022-08-16T00:00:00,TOYOTA TSUSHO MALAYSIA SDN BHD,"TOKAI RIKA CO., LTD.",2015-08-19T00:00:00
HIDF15000461,2020-02-03T00:00:00,MSD DIGITAL INTELLIGENCE SDN BHD,LANBOWAN WIRELESS INC,2015-08-27T00:00:00
HIDF15000515,2020-07-15T00:00:00,SITE TECHNOLOGY ASIA PACIFIC SDN. BHD.,"TRIMBLE NAVIGATION LIMITED CORPORATE HEADQUARTERS,",2015-10-15T00:00:00
HIDF20000139,2021-08-10T00:00:00,AMAZON DATA SERVICES MALAYSIA SDN. BHD.,QUANTA COMPUTER INC.,2020-08-11T00:00:00
CIDF18000176,2019-07-26T00:00:00,DELL GLOBAL BUSINESS CENTER SDN. BHD.,"AEROHIVE NETWORKS, INC.",2018-07-27T00:00:00
HIDF15000310,2016-06-23T00:00:00,INTER - NETWORK DISTRIBUTION SERVICES SDN BHD,"AEROHIVE NETWORKS, INC.",2015-06-24T00:00:00
HIDF15000127,2022-06-24T00:00:00,HONDA MALAYSIA SDN BHD,"HONDA MOTOR CO., LTD. ",2015-04-27T00:00:00
HIDF15000117,2021-06-04T00:00:00,BOON SIEW HONDA SDN. BHD.,"HONDA MOTOR CO., LTD. ",2015-04-21T00:00:00
HIDF18000023,2022-04-20T00:00:00,HONDA ASSEMBLY (MALAYSIA) SDN BHD,"HONDA MOTOR CO., LTD. ",2018-01-30T00:00:00
CIDF15000092,2016-04-09T00:00:00,INNATECH COMMUNICATION SDN. BHD.,SHENZHEN GONGJIN ELECTRONICS CO. LTD.,2015-04-10T00:00:00
HIDF15000090,2022-05-16T00:00:00,INNATECH SDN. BHD.,SHENZHEN GONGJIN ELECTRONICS CO. LTD.,2015-04-08T00:00:00
HIDF15000019,2022-08-15T00:00:00,GVS TECHNOLOGY SDN BHD,VTECH TELECOMMUNICATIONS LTD,2015-03-05T00:00:00
HIDF18000158,2020-11-19T00:00:00,STAR TECH DISTRIBUTION SDN. BHD.,VTECH TELECOMMUNICATIONS LTD,2018-07-11T00:00:00
HIDF21000164,2022-09-29T00:00:00,VME BROADCAST SDN BHD,SONY CORPORATION,2021-09-30T00:00:00
HIDF15000001,2016-01-21T00:00:00,SONY EMCS (MALAYSIA) SDN. BHD.,SONY CORPORATION,2015-01-22T00:00:00
CIDF15000002,2022-01-21T00:00:00,SONY (MALAYSIA) SDN. BHD.,SONY CORPORATION,2015-01-23T00:00:00
CIDF15000002,2022-02-16T00:00:00,SONY EMCS (MALAYSIA) SDN. BHD.,SONY CORPORATION,2015-02-10T00:00:00
HIDF15000160,2022-05-11T00:00:00,KEYENCE (MALAYSIA) SDN BHD,KEYENCE CORPORATION,2015-05-18T00:00:00
CIDF15000180,2018-12-14T00:00:00,ASIA EXPRESS CERTIFICATION SERVICES,KRONOS INCORPORATED.,2015-05-26T00:00:00
CIDF15000180,2021-12-04T00:00:00,ASIA EXPRESS CERTIFICATION SERVICES,KRONOS INCORPORATED.,2015-05-27T00:00:00
HIDF16000181,2022-06-30T00:00:00,MYKRIS ASIA SDN. BHD.,MIKROTIKLS SIA,2016-09-01T00:00:00
HIDF15000081,2022-05-18T00:00:00,YTL COMMUNICATIONS SDN BHD,"INFOMARK CO.,LTD.",2015-04-02T00:00:00
HIDF16000030,2017-02-04T00:00:00,LV SOLUTION SDN BHD,iDirect,2016-02-05T00:00:00
HIDF18000007,2022-03-11T00:00:00,MEASAT SATELLITE SYSTEMS SDN BHD,iDirect,2018-01-09T00:00:00
HIDF18000121,2021-05-18T00:00:00,DIV SERVICES SDN. BHD.,PAX TECHNOLOGY LIMITED,2018-05-21T00:00:00
HIDF15000291,2019-05-20T00:00:00,AMAG ASIA SDN BHD,PT.Dutakom Wibawa Putra,2015-06-22T00:00:00
HIDF15000355,2020-02-13T00:00:00,BROADBAND SATELLITE SOLUTIONS SDN. BHD.,SKYWARE GLOBAL,2015-07-06T00:00:00
HIDF15000339,2021-11-09T00:00:00,REACH TEN COMMUNICATION SDN BHD,SKYWARE GLOBAL,2015-06-30T00:00:00
HIDF15000276,2022-04-20T00:00:00,TECHDATA SYSTEMS SDN. BHD.,"RUCKUS WIRELESS, INC.",2015-06-17T00:00:00
HIDF15000275,2018-07-17T00:00:00,CONVERGENCE NETWORKS SDN. BHD.,"RUCKUS WIRELESS, INC.",2015-06-17T00:00:00
HIDF15000257,2022-07-01T00:00:00,WESTCON SOLUTIONS (M) SDN BHD,"RUCKUS WIRELESS, INC.",2015-06-12T00:00:00
CIDF16000056,2017-03-23T00:00:00,TM NET SDN BHD,Harmonic (Asia Pacific) Limited,2016-03-24T00:00:00
HIDF15000256,2021-09-14T00:00:00,EVERBEST GLOBAL SDN. BHD.,"Quanzhou YANTON Electronics Co.,Ltd.",2015-06-12T00:00:00
HIDF15000032,2022-03-12T00:00:00,TELE SYSTEM ELECTRONIC (M) SDN.BHD,SHARP CORPORATION,2015-03-19T00:00:00
HIDF15000210,2021-11-08T00:00:00,DIVERSIFIED GATEWAY BERHAD,"Aspect Software Inc.,",2015-06-03T00:00:00
HIDF15000211,2021-08-20T00:00:00,ORANGE BUSINESS SERVICES MALAYSIA SDN BHD,"Aspect Software Inc.,",2015-06-03T00:00:00
CIDF15000144,2021-09-22T00:00:00,RIGER CORPORATION (M) SDN. BHD.,"SHENZHEN GUO WEI ELECTRONICS CO., LTD.",2015-05-07T00:00:00
HIDF15000086,2022-04-11T00:00:00,ALCOM NETWORKS SDN. BHD.,"SHENZHEN GUO WEI ELECTRONICS CO., LTD.",2015-04-08T00:00:00
CIDF17000013,2019-08-02T00:00:00,PERUSAHAAN OTOMOBIL NASIONAL SDN BHD ,"Shenzhen RoadRover Technology Co., Ltd ",2017-01-26T00:00:00
HIDF16000080,2022-05-04T00:00:00,ROCHE DIAGNOSTICS (MALAYSIA) SDN BHD,Roche Diagnostics AG,2016-04-27T00:00:00
HIDF15000523,2021-07-21T00:00:00,Y.P.YAU TRADING,Jonsa Technologies Co. Ltd.,2015-10-23T00:00:00
HIDF15000157,2019-08-01T00:00:00,FUNSPORTZ SDN BHD,"WOODMAN LABS,INC(dba GoPro)",2015-05-14T00:00:00
HIDF15000509,2020-05-07T00:00:00,COMREL TECHNOLOGIES SDN BHD,Roger GPS Oy,2015-10-12T00:00:00
HIDF16000045,2017-02-28T00:00:00,JUSTRACK GROUP SDN BHD,SEEWORLD TECHNOLOGY CORP,2016-03-01T00:00:00
CIDF15000466,2016-09-02T00:00:00,ASYNC RESOURCES,PEGATRON CORPORATION,2015-09-03T00:00:00
CIDF15000466,2022-09-12T00:00:00,SUNAGATA SUPERCARS SDN BHD,PEGATRON CORPORATION,2021-09-13T00:00:00
CIDF15000466,2022-09-13T00:00:00,VOLKSWAGEN GROUP (M) SDN BHD,PEGATRON CORPORATION,2021-09-14T00:00:00
HIDM20000102,2022-06-14T00:00:00,PANASONIC MANUFACTURING MALAYSIA BERHAD,PANASONIC CORPORATION (KADOMA),2020-06-16T00:00:00
HIDF20000209,2021-11-09T00:00:00,PANASONIC SYSTEM NETWORKS MALAYSIA SDN BHD,PANASONIC CORPORATION (KADOMA),2020-11-10T00:00:00
HIDF16000141,2021-12-07T00:00:00,PANASONIC APPLIANCES AIR-CONDITIONING MALAYSIA SDN BHD,PANASONIC CORPORATION (KADOMA),2016-07-13T00:00:00
HIDM17000114,2021-07-09T00:00:00,PANASONIC AUTOMOTIVE SYSTEMS MALAYSIA SDN. BHD.,PANASONIC CORPORATION (KADOMA),2017-06-07T00:00:00
CIDF15000309,2016-06-23T00:00:00,TELPHONE TECHNOLOGY (M) SDN. BHD.,TELPHONE TECHNOLOGY (M) SDN BHD,2015-06-24T00:00:00
HIDF21000160,2022-09-27T00:00:00,ARTRONIQ INNOVATION SDN BHD,"HONEYWELL INTERNATIONAL INC.,",2021-09-28T00:00:00
CIDF15000215,2016-06-03T00:00:00,BAN LEONG TECHNOLOGIES SDN. BHD.,Aliph com,2015-06-04T00:00:00
HIDF15000177,2022-06-20T00:00:00,BAN LEONG TECHNOLOGIES SDN. BHD.,Aliph com,2015-05-25T00:00:00
HIDF15000098,2022-06-16T00:00:00,DIGITAL PAPER SDN. BHD.,"LEXMARK INTERNATIONAL, INC.",2015-04-14T00:00:00
CIDF18000144,2021-08-26T00:00:00,DIGITAL PAPER SOLUTIONS SDN. BHD.,"LEXMARK INTERNATIONAL, INC.",2020-08-27T00:00:00
CIDF18000144,2021-08-26T00:00:00,PACIFIC OFFICE (M) SDN. BHD.,"LEXMARK INTERNATIONAL, INC.",2020-08-27T00:00:00
CIDF18000144,2021-08-26T00:00:00,INNOVIX DISTRIBUTION SDN. BHD.,"LEXMARK INTERNATIONAL, INC.",2020-08-27T00:00:00
CIDF18000144,2021-09-27T00:00:00,DIGITAL PAPER SDN. BHD.,"LEXMARK INTERNATIONAL, INC.",2018-06-20T00:00:00
HIDF18000153,2019-06-28T00:00:00,ATM TRADING (M) SDN BHD,"LEXMARK INTERNATIONAL, INC.",2018-06-29T00:00:00
HIDF15000046,2022-08-26T00:00:00,CENTURY ADVANCE TECHNOLOGY SDN.BHD,LG ELECTRONICS INC (CHEONGHO-RI),2015-03-19T00:00:00
HIDF15000465,2021-02-26T00:00:00,HITACHI SALES (M) SDN BHD,GEMTEK TECHNOLOGY CO. LTD.,2015-09-02T00:00:00
HIDF17000027,2020-06-30T00:00:00,ATILZE DIGITAL SDN BHD,GEMTEK TECHNOLOGY CO. LTD.,2017-02-16T00:00:00
HIDF15000323,2017-09-04T00:00:00,OPTICAL COMMUNICATION ENGINEERING SDN BHD,Ubiquiti Networks,2015-06-26T00:00:00
HIDF15000326,2022-07-01T00:00:00,UWAVE SDN BHD,Ubiquiti Networks,2015-06-26T00:00:00
HIDF15000400,2021-11-11T00:00:00,ADV NETWORK SDN BHD,DRAYTEK CORP.,2015-07-28T00:00:00
HIDM15000464,2016-08-27T00:00:00,BSW TECHNOLOGY,BSW TECHNOLOGY,2015-08-28T00:00:00
CIDM19000201,2021-09-28T00:00:00,MICROENGINE TECHNOLOGY SDN BHD,MICROENGINE TECHNOLOGY SDN BHD,2019-09-24T00:00:00
CIDF20000008,2021-01-16T00:00:00,LG ELECTRONICS (M) SDN. BHD.,LG ELECTRONICS INC (GYEONGGI-DO),2020-01-17T00:00:00
HIDF15000342,2022-06-15T00:00:00,Q MAN TRADING SDN. BHD.,LG ELECTRONICS INC (GYEONGGI-DO),2015-06-30T00:00:00
HIDF16000136,2022-08-10T00:00:00,WIDEMINDS,LG ELECTRONICS INC (GYEONGGI-DO),2016-07-04T00:00:00
HIDF16000023,2017-01-31T00:00:00,ASIA EXPRESS CERTIFICATION SERVICES,LG ELECTRONICS INC (GYEONGGI-DO),2016-02-01T00:00:00
CIDF15000255,2021-09-30T00:00:00,DPRO TECHNOLOGY SDN BHD,DPRO Technology Sdn Bhd,2015-06-12T00:00:00
HIDM18000174,2021-10-06T00:00:00,NEWICT MARKETING (M) SDN. BHD.,CPI (PENANG) SDN BHD (EMS DIVISION),2018-07-24T00:00:00
HIDF18000008,2019-01-08T00:00:00,JJTANGO (M) SDN BHD,GARMIN (ASIA) CORPORATION,2018-01-09T00:00:00
CIDF15000473,2016-09-08T00:00:00,TECH-STORE MALAYSIA SDN BHD,Hasam S.R.O,2015-09-09T00:00:00
HIDM15000406,2020-09-02T00:00:00,WINDS MOBILE SDN. BHD.,WINDS MOBILE SDN BHD,2015-07-30T00:00:00
HIDF15000204,2022-07-14T00:00:00,ASIA PACIFIC ZONE SYSTEMS SDN BHD,Ateme,2015-06-03T00:00:00
HIDF17000127,2019-11-15T00:00:00,JC MARINE COMMUNICATION CO.,Entel UK Limited,2017-06-29T00:00:00
HIDF16000084,2022-07-15T00:00:00,VOLVO MALAYSIA SDN BHD,PARROT S.A.,2016-05-03T00:00:00
HIDF15000063,2016-03-23T00:00:00,BUMI TELECOMMUNICATION AND IT SUPPLY SDN. BHD.,"SHENZHEN XINGHE LIANFA TECHNOLOGY CO., LTD",2015-03-24T00:00:00
HIDF15000543,2022-04-06T00:00:00,METERTEK SDN BHD,ITRON.,2015-11-05T00:00:00
HIDF21000125,2022-07-20T00:00:00,KINTA TERANG SDN BHD,ITRON.,2021-07-21T00:00:00
HIDF15000186,2022-06-27T00:00:00,ERICSSON (MALAYSIA) SDN. BHD.,"ERICSSON AB, SWEDEN",2015-05-27T00:00:00
CIDF15000242,2016-06-09T00:00:00,ERICSSON (MALAYSIA) SDN. BHD.,"ERICSSON AB, SWEDEN",2015-06-10T00:00:00
HIDF15000463,2021-09-04T00:00:00,HINO MOTORS SALES (MALAYSIA) SDN BHD,"HINO MOTORS, LTD",2015-08-28T00:00:00
HIDF15000298,2022-04-29T00:00:00,SPECTRUM EDGE SDN. BHD.,FORTINET,2015-06-22T00:00:00
HIDF15000508,2016-10-11T00:00:00,OFISGATE SDN BHD,"MERAKI, INC.",2015-10-12T00:00:00
CIDF15000385,2019-07-02T00:00:00,SYMPHONET SDN BHD,Calix,2015-09-11T00:00:00
HIDF15000367,2016-07-09T00:00:00,SYMPHONET NETWORK SDN BHD,Calix,2015-07-10T00:00:00
HIDF20000047,2022-06-16T00:00:00,HAIER ELECTRICAL APPLIANCES (MALAYSIA) SDN. BHD.,Haier,2020-03-13T00:00:00
HIDF15000307,2016-06-23T00:00:00,SMS INFOCOMM (MALAYSIA) SDN BHD,WISTRON CORPORATION,2015-06-24T00:00:00
HIDF15000519,2022-05-05T00:00:00,GE HEALTHCARE SDN. BHD.,Compex (Suzhou) Co. Ltd ,2015-10-21T00:00:00
HIDF15000197,2021-11-15T00:00:00,NETREGY SYSTEMS SDN BHD,"YEALINK (XIAMEN) NETWORK TECHNOLOGY CO., LTD",2015-05-29T00:00:00
CIDF17000197,2018-10-03T00:00:00,INGRAM MICRO MALAYSIA SDN. BHD.,MICRO-STAR INTL CO. LTD,2017-10-04T00:00:00
CIDF15000491,2016-09-21T00:00:00,GRATO MARKETING SDN BHD,BREMED LIMITED,2015-09-22T00:00:00
HIDF19000150,2022-08-29T00:00:00,VESC SOLUTION SDN BHD,ACCTON TECHNOLOGY CORPORATION,2019-08-02T00:00:00
HIDF17000163,2021-09-17T00:00:00,SUNRISE INDUSTRIAL SUPPLIES SDN. BHD.,HERUTU ELECTRONICS CORPORATION,2017-08-15T00:00:00
CIDF18000275,2019-12-12T00:00:00,SILVER SPRING NETWORKS MALAYSIA SDN BHD,Silver Spring Networks,2018-12-13T00:00:00
HIDM15000337,2017-07-17T00:00:00,PALETTE MULTIMEDIA BERHAD,ADTRAN INC,2015-06-30T00:00:00
HIDF15000269,2022-07-14T00:00:00,O'CONNOR'S ENGINEERING SDN. BHD.,ADTRAN INC,2015-06-16T00:00:00
HIDF20000082,2021-05-04T00:00:00,PIE ENTERPRISE (M) SDN. BHD,Pan-International Electronics (M) Sdn. Bhd.,2020-05-05T00:00:00
HIDF16000122,2018-10-15T00:00:00,PCOM PACIFIC SDN BHD,"SINDI TECHNOLOGIES CO., LTD.",2016-06-24T00:00:00
CIDF16000159,2019-11-14T00:00:00,TECHDATA SYSTEMS SDN. BHD.,"WatchGuard Technologies, Inc. ",2016-08-10T00:00:00
CIDF15000022,2022-03-07T00:00:00,DELL GLOBAL BUSINESS CENTER SDN. BHD.,DELL INC.,2015-03-12T00:00:00
HIDF16000028,2022-04-25T00:00:00,ATLAS SOUND & VISION SDN BHD,Bose Corporation ,2016-02-04T00:00:00
HIDF18000070,2022-03-22T00:00:00,MY FUTUREWORLD SDN BHD,Bose Corporation ,2018-03-26T00:00:00
CIDF15000571,2016-12-07T00:00:00,NUSUARA TECHNOLOGIES SDN BHD,Pepwave,2015-12-08T00:00:00
HIDF15000210,2021-11-08T00:00:00,DIVERSIFIED GATEWAY BERHAD,Pepwave,2015-06-03T00:00:00
HIDF15000174,2022-06-27T00:00:00,EXCEL COMMERCE SOLUTION SDN BHD,Pepwave,2015-05-25T00:00:00
HIDF15000394,2016-07-23T00:00:00,PISMO RESEARCH (MALAYSIA) SDN. BHD.,Pepwave,2015-07-24T00:00:00
HIDF15000445,2022-05-24T00:00:00,ORIGINEX NETWORKS SDN. BHD.,Pepwave,2015-08-19T00:00:00
CIDF15000441,2018-12-12T00:00:00,ASIA EXPRESS CERTIFICATION SERVICES,"AEROHIVE NETWORKS, INC",2015-08-18T00:00:00
CIDF15000441,2019-07-29T00:00:00,DELL GLOBAL BUSINESS CENTER SDN. BHD.,"AEROHIVE NETWORKS, INC",2018-07-30T00:00:00
CIDF15000441,2021-09-02T00:00:00,ECS PERICOMP SDN. BHD.,"AEROHIVE NETWORKS, INC",2018-08-10T00:00:00
HIDF18000277,2019-12-12T00:00:00,K NOW DISTRIBUTION SDN BHD,"Fujian Ruijie Networks Co., Ltd",2018-12-13T00:00:00
HIDF15000210,2021-11-08T00:00:00,DIVERSIFIED GATEWAY BERHAD,"Fujian Ruijie Networks Co., Ltd",2015-06-03T00:00:00
HIDF15000212,2016-06-02T00:00:00,RANGKAIAN RINGKAS SDN BHD,"Fujian Ruijie Networks Co., Ltd",2015-06-03T00:00:00
CIDF15000544,2016-12-09T00:00:00,VCS SDN BHD,"Fujian Ruijie Networks Co., Ltd",2015-12-10T00:00:00
CIDF15000544,2018-11-19T00:00:00,TAFFU MEDIA SDN BHD,"Fujian Ruijie Networks Co., Ltd",2015-11-05T00:00:00
HIDF15000025,2020-03-08T00:00:00,TECHNICOLOR MALAYSIA SDN BHD,FUHONG PRECISION COMPONENT (BAC GIANG) LIMITED,2015-03-13T00:00:00
CIDF20000104,2021-06-17T00:00:00,PERUSAHAAN OTOMOBIL NASIONAL SDN BHD,"United Automotive Electronic System Co., Ltd",2020-06-18T00:00:00
HIDF20000031,2021-02-20T00:00:00,UNIVERSAL MEDITECH SDN BHD,MEDICARE SYSTEMS LTD,2020-02-21T00:00:00
HIDF18000027,2019-02-05T00:00:00,XSPEC TECHNOLOGY SDN BHD,MEDICARE SYSTEMS LTD,2018-02-06T00:00:00
HIDF20000214,2021-11-15T00:00:00,SHAMAWAR SDN BHD,Landis+Gyr (Europe) AG,2020-11-16T00:00:00
CIDF15000330,2019-03-05T00:00:00,VOLVO MALAYSIA SDN BHD,VOLVO GROUP TRUCKS TECHNOLOGY,2015-06-29T00:00:00
HIDF15000565,2021-12-27T00:00:00,INNOVIX DISTRIBUTION SDN. BHD.,"Wacom Co., Ltd",2015-11-30T00:00:00
HIDF16000152,2018-08-29T00:00:00,VC DISTRIBUTION (M) SDN BHD,Shenzhen Wisky Technology Co. Ltd,2016-07-25T00:00:00
CIDF19000070,2020-04-28T00:00:00,BMW MALAYSIA SDN. BHD.,"Lear Automotive (EEDS) Spain, SL",2019-04-29T00:00:00
HIDF15000105,2021-01-01T00:00:00,ADVANCE TECH COMMUNICATIONS SDN BHD,"BYD Precision Manufacture Co., Ltd",2015-04-17T00:00:00
HIDF15000020,2022-03-01T00:00:00,PANASONIC MALAYSIA SDN. BHD.,"PANASONIC SYSTEM NETWORKS CO., LTD",2015-03-06T00:00:00
HIDF17000070,2021-11-09T00:00:00,MOBIEDGE E-COMMERCE SDN BHD,"Shenzhen Xinguodu Technology Co., Ltd",2017-04-14T00:00:00
HIDF15000526,2021-01-28T00:00:00,GHL TRANSACT SDN. BHD.,VERIFONE INC,2015-10-27T00:00:00
CIDF17000046,2019-08-14T00:00:00,SACOFA SDN. BHD.,Tejas Network Ltd,2017-05-04T00:00:00
CIDF17000046,2018-03-21T00:00:00,SILVER RIDGE SDN BHD,Tejas Network Ltd,2017-03-22T00:00:00
HIDF15000384,2016-07-21T00:00:00,MC MILLION TECHNOLOGY SDN BHD,Mc Million,2015-07-22T00:00:00
HIDF16000182,2017-09-01T00:00:00,QZ ELECTRONICS SDN BHD,QZ ELECTRONICS SDN BHD ,2016-09-02T00:00:00
HIDF17000035,2022-03-15T00:00:00,M-SECURITY TECHNOLOGY SDN BHD,"Ruckus Wireless, Inc",2017-03-01T00:00:00
HIDF18000233,2019-10-15T00:00:00,SAMSUNG C&T MALAYSIA SDN. BHD.,Zylux Acoustic Corporation,2018-10-16T00:00:00
HIDF17000272,2022-02-22T00:00:00,KAIRA TECHNOLOGIES (M) SDN. BHD.,LOGITECH FAR EAST LTD.,2017-12-29T00:00:00
HIDF17000093,2022-02-04T00:00:00,TOSHIBA TEC MALAYSIA SDN BHD,"TOSHIBA TEC CORPORATION, JAPAN",2017-05-15T00:00:00
CIDF17000135,2018-07-13T00:00:00,KOYE SDN BHD,"GIKEN SEISAKUSHO CO., LTD.",2017-07-14T00:00:00
HIDF15000025,2020-03-08T00:00:00,TECHNICOLOR MALAYSIA SDN BHD,PAN INTERNATIONAL ELECTRONICS (M) SDN BHD,2015-03-13T00:00:00
HIDF15000393,2022-02-16T00:00:00,N'OSAIRIS TECHNOLOGY SOLUTIONS SDN BHD,Virtual Access (Ireland) Ltd,2015-07-24T00:00:00
HIDF19000025,2021-08-26T00:00:00,TRANSACTION NETWORK SERVICES (MALAYSIA) SDN BHD,Virtual Access (Ireland) Ltd,2019-02-08T00:00:00
CIDF19000215,2022-06-30T00:00:00,MAGNIFI MACHINES SDN. BHD.,Virtual Access (Ireland) Ltd,2019-10-09T00:00:00
CIDF19000222,2020-10-21T00:00:00,ASIA EXPRESS CERTIFICATION SERVICES,"ELITEGROUP COMPUTER SYSTEM CO., LTD",2019-10-22T00:00:00
HIDF17000022,2021-02-16T00:00:00,GAMMA SOLUTION SDN BHD,"ELITEGROUP COMPUTER SYSTEM CO., LTD",2017-02-14T00:00:00
HIDF15000265,2022-06-11T00:00:00,STANDARD JOY SDN BHD,Shenzhen GOTRON Electronic Co. LTD,2015-06-16T00:00:00
HIDF15000236,2017-08-24T00:00:00,MOBILI TECHNOLOGY SOLUTION,"Topflytech (Hong Kong) Communication Technology Co., Limited",2015-06-09T00:00:00
HIDM17000121,2021-08-02T00:00:00,TRIPLE ACCESS SDN BHD,"Motorola Solutions, Inc.",2017-06-20T00:00:00
HIDF15000060,2016-03-23T00:00:00,GWORLD ASIA SDN BHD,"SHENZHEN HENGYUANDINGYE TECHNOLOGY DEVELOPMENT CO.,LTD",2015-03-24T00:00:00
