SLPID,ExpiryDate,SLPID_owner,principal_certificate,ApproveDate
HIDF20000177,2021-09-23T00:00:00,MEDS TECHNOLOGIES SDN BHD,MULTITECH SYSTEMS INC.,2020-09-24T00:00:00
HIDF15000405,2021-02-20T00:00:00,VADS BERHAD,"CISCO SYSTEM ,INC",2015-07-30T00:00:00
CIDM17000109,2018-05-31T00:00:00,IQ GROUP SDN.BHD.,IQ GROUP SDN. BHD.,2017-06-01T00:00:00
HIDF15000492,2016-09-22T00:00:00,ACBURN MARINE AUTOMATIONS SDN BHD,SAMYUNG ENC. CO. LTD.,2015-09-23T00:00:00
CIDF15000070,2018-05-11T00:00:00,RIGER CORPORATION (M) SDN. BHD.,SHANGHAI DAREGLOBAL INFO TECH CO.LTD,2015-03-24T00:00:00
HIDF15000152,2022-07-14T00:00:00,GLOCOMP SYSTEMS (M) SDN. BHD.,CISCO SYSTEM INTERNATIONAL B.V,2015-05-13T00:00:00
HIDF17000169,2018-08-17T00:00:00,GLOCOMP XAAS SDN BHD,CISCO SYSTEM INTERNATIONAL B.V,2017-08-18T00:00:00
HIDF15000505,2016-10-05T00:00:00,UNI-TELCO COMMUNICATION SDN BHD,UNI-TELCO COMMUNICATION SB,2015-10-06T00:00:00
CIDF18000261,2019-11-25T00:00:00,HANMAN INTERNATIONAL SDN BHD,VISION AUTOMOBILEELECTRONICSIN.CO.LTD,2018-11-26T00:00:00
HIDF15000483,2016-09-16T00:00:00,MASS RAPID TRANSIT CORPORATION SDN. BHD.,MOTOROLA ELECTRONIC GMBH,2015-09-17T00:00:00
CIDF15000021,2022-03-22T00:00:00,BROTHER INTERNATIONAL (MALAYSIA) SDN. BHD.,"BROTHERINDUSTRIES, LTD",2015-03-12T00:00:00
CIDF16000226,2017-11-07T00:00:00,SHIMADZU MALAYSIA SDN BHD ,CANON SINGAPORE PTE LTD,2016-11-08T00:00:00
HIDF17000242,2021-10-11T00:00:00,TOSHIBA MEDICAL SYSTEMS MALAYSIA SDN BHD,CANON SINGAPORE PTE LTD,2017-11-22T00:00:00
CIDF15000517,2022-07-12T00:00:00,VSTECS ASTAR SDN. BHD.,MICRO-STAR INTERNATIONAL,2019-05-14T00:00:00
CIDF17000256,2020-01-08T00:00:00,SERVEX (MALAYSIA) SDN. BHD.,MICRO-STAR INTERNATIONAL,2017-12-12T00:00:00
CIDF15000517,2021-11-22T00:00:00,INGRAM MICRO MALAYSIA SDN. BHD.,MICRO-STAR INTERNATIONAL,2015-10-20T00:00:00
HIDM15000380,2018-02-13T00:00:00,CAL-LAB TECHNOLOGIES SDN BHD,CAL-LAB TECHNOLOGIES SDN.BHD,2015-07-15T00:00:00
HIDF16000101,2022-05-26T00:00:00,HEWLETT-PACKARD (M) SDN. BHD.,CISCO  SYSTEMS INC.,2016-05-26T00:00:00
HIDF16000002,2022-07-14T00:00:00,MESINIAGA BERHAD,CISCO  SYSTEMS INC.,2016-01-06T00:00:00
HIDF20000057,2021-03-26T00:00:00,MICROSOFT PAYMENTS (MALAYSIA) SDN  BHD,CISCO  SYSTEMS INC.,2020-03-27T00:00:00
HIDF15000163,2021-12-20T00:00:00,TAN CHONG & SONS MOTOR CO. SDN BHD,CLARION CO. LTD,2015-05-19T00:00:00
HIDF15000164,2016-05-18T00:00:00,AUTO DUNIA SDN BHD,CLARION CO. LTD,2015-05-19T00:00:00
HIDF15000033,2021-10-05T00:00:00,GELOMBANG CEKAL SDN BHD,GELOMBANG CEKAL SDN. BHD.,2015-03-19T00:00:00
HIDF20000123,2021-07-15T00:00:00,AFIINTRA TECHNOLOGIES SDN BHD,NOKIA NETWORK OY,2020-07-16T00:00:00
HIDF21000070,2022-04-14T00:00:00,MAUDIRE DISTRIBUTION SDN BHD,NOKIA CORPORATION LTD,2021-04-15T00:00:00
CIDF15000325,2020-10-30T00:00:00,AEXIS TECHNOLOGIES SDN BHD,PATTON ELECTRONICS CO,2015-06-26T00:00:00
CIDF15000317,2016-06-24T00:00:00,PSI INCONTROL SDN BHD,BELAIR NETWORKS INC,2015-06-25T00:00:00
