358,WMAM MASTERCLASS SERIES CONFIRMATION - PRACTICAL CHANGES THAT IMPACT CONSUMER & BUSSNIESS,23 JUN 2021,WASTE MANAGEMENT ASSOCIATION OF MALAYSIA (WMAM),WEBINAR,GENERIK,PENGURUSAN DAN KUALITI,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
382,"""WORK IN PROGRESS""",23 JUN 2021,RAZAK SCHOOL OF GOVERNMENT (RSOG),WEBINAR,GENERIK,PENGURUSAN PEJABAT,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
387,WMAM MASTERCLASS SERIES,23 JUN 2021,WASTE MANAGEMENT ASSOCIATION OF MALAYSIA (WMAM),WEBINAR,GENERIK,INFORMASI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
388,TAKLIMAT VAKSIN COVID-19,23 JUN 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),WEBINAR,GENERIK,KESIHATAN DAN KECERDASAN,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
511,KEMAHIRAN KOMUNIKASI POWER DI PERSEKITARAN PEJABAT,25 JUN 2021,AKADEMIK PROFESIONAL INTELEK,WEBINAR,GENERIK,KOMUNIKASI DAN MEDIA SOSIAL,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
548,PENANG CONSTRUCTION INDUSTRY GO DIGITAL ( TOPIC: BIM AND DIGITAL MODELING),25 JUN 2021,PSUKPP,WEBINAR,FUNGSIONAL,KEJURUTERAAN AWAM,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
555,TAKLIMAT VAKSIN COVID-19,28 JUN 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),WEBINAR,GENERIK,KESIHATAN DAN KECERDASAN,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
574,HER 15 MINUTE CITY,28 JUN 2021,UN-Habitat and Global Utmaning,WEBINAR,FUNGSIONAL,PERANCANGAN PEMBANGUNAN,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
578,BENGKEL PERBINCANGAN BERSAMA PEMEGANG TARUH UNTUK PELAN PEMBANGUNAN BAS ELEKTRIK KEBANGSAAN.,28 JUN 2021,Malaysian Green Technology and Climate Change Centre (MGTC),WEBINAR,FUNGSIONAL,PENGURUSAN PROJEK,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
579,BENGKEL PERBINCANGAN BERSAMA PEMEGANG TARUH UNTUK PELAN PEMBANGUNAN BAS ELEKTRIK KEBANGSAAN.,28 JUN 2021,Malaysian Green Technology and Climate Change Centre (MGTC),WEBINAR,FUNGSIONAL,PENGURUSAN PROJEK,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
580,TAKLIMAT VAKSIN COVID-19,29 JUN 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),WEBINAR,GENERIK,KESIHATAN DAN KECERDASAN,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
588,SEMINAR KELESTARIAN INTERGRITI,29 JUN 2021,,,GENERIK,INTEGRITI,,
589,"ROAD TO RECOVERY SERIES (SEASON 2, EPISODE 5 ) MALAYSIA SMART CITIES OUTLOOK: REVIEW CURRENT, ENVISION TOMORROW",29 JUN 2021,SMART CITIES,WEBINAR,FUNGSIONAL,PERANCANGAN PEMBANGUNAN,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
597,FORGERIES AND FRAUD IN REAL ESTATE TRANSACTIONS,29 JUN 2021,HARTAMAS ACADEMY RESOURCES SDN BHD ,WEBINAR,FUNGSIONAL,PENGURUSAN HARTA,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
606,MEMPERKASA INTEGRITI SECARA MAGICAL,29 JUN 2021,DMFK,HYBRID,GENERIK,INTEGRITI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
611,"SEMINAR KELESTARIAN INTERGRITI BERTEMAKAN "" PEMATUHAN PROSEDUR STANDART (SOP)  PERINTAH KAWALAN PERGERAKKAN (PKP) : BERINTERGRITIKAH KITA?",29 JUN 2021,,,GENERIK,INTEGRITI,,
612,WMAM TRAINING SERIES : EFFECTIVE WASTE COLLECTION & OPTIMISATION,30 JUN 2021,WASTE MANAGEMENT ASSOCIATION OF MALAYSIA (WMAM),WEBINAR,FUNGSIONAL,PENGURUSAN AMALAN HIJAU,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
614,TAKLIMAT VAKSIN COVID-19,30 JUN 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),WEBINAR,GENERIK,KESIHATAN DAN KECERDASAN,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
683,BDR: KERJA VS KELUARGA,30 JUN 2021,,WEBINAR,GENERIK,INTEGRITI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
801,PENGESAHAN KURSUS : WACANA LEGASI LANDSKAP MELAYU DAN PERKAMPUNGAN KUCHAI PERAK,30 JUN 2021,Institut Latihan Perumahan dan Kerajaan Tempatan (I-KPKT),WEBINAR,FUNGSIONAL,PENGURUSAN PROJEK,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
804,WASTED MANAGEMENT IN SUSTAINABLE AND SMART CITIES,30 JUN 2021,,,FUNGSIONAL,PERANCANGAN PEMBANGUNAN,SMART ENVIRONMENT,
BIL,NAMA KURSUS,TARIKH,ANJURAN,TEMPAT,JENIS TERAS,TERAS LATIHAN,DOMAINS,KAEDAH LATIHAN
1,TAKLIMAT PENGGUNAAN BAHAN KIMIA DAN PERALATAN KAWALAN VEKTOR,1 & 7 JULAI 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),WEBINAR,FUNGSIONAL,KESIHATAN PERSEKITARAN,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
79,WASTE MANAGEMENT IN SUSTAINABLE & SMART CITIES,1 JULAI 2021,,WEBINAR,FUNGSIONAL,PENGURUSAN PROJEK,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
81,SUSTAINABLE CONCRETE SOLUTION FOR LANDSCAPE DESIGN,2 JULAI 2021,LIAM CENTRE OF EXCELLENCE (ICE),WEBINAR,FUNGSIONAL,PENGURUSAN PROJEK,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
85,KEMAHIRAN  PSIKOLOGI PENGURUSAN STRES KEMANUSIAAN SEMASA PANDEMIK,2 JULAI 2021,AKADEMIK PROFESIONAL INTELEK,WEBINAR,GENERIK,MOTIVASI DAN PEMANTAPAN DIRI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
86,GENERATING INNOVATIONS FOR GROWTH (GIG) PROGRAM,5 - 8 JULAI 2021,KEYSIGHT TECHNOLOGIES,KEYSIGHT TECHNOLOGIES PENANG,GENERIK,INOVASI DAN KREATIVITI,SMART SOSIAL,BERSEMUKA (OFFLINE)
88,LEGAL ISSUES & PROCESS RELATING TO LAND ACQUISITION ,6 JULAI 2021,HARTAMAS ACADEMY RESOURCES SDN BHD,WEBINAR,FUNGSIONAL,PENGURUSAN HARTA,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
,TAKLIMAT IMUNISASI COVID-19 PERINGKAT 2,8 JULAI 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),ZOOM,GENERIK,KESIHATAN DAN KECERDASAN,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
97,KURSUS 'COVID-19 AND WORK : STAYING HEALTHY AND SAFE AT WORK DURING COVID-19 PANDEMIC',8 JULAI 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),WEBINAR,GENERIK,KESIHATAN DAN KECERDASAN,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
158,WFH IKHLAS TAPI JAUH ,8 JULAI 2021,RAZAK SCHOOL OF GOVERNMENT (RSOG),WEBINAR,GENERIK,INTEGRITI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
168,SESI LIBAT URUS TRANSFORMASI PENGURUSAN SISA PEPEJAL KE ARAH PELAKSANAAN EKONOMI KITARAN BERSAMA PIHAK BERKUASA NEGERI (PBN) DAN BERKUASA TEMPATAN,12 JULAI 2021,KEMENTERIAN PERUMAHAN DAN KERAJAAN TEMPATAN (KPKT),WEBINAR,FUNGSIONAL,PENGURUSAN AMALAN HIJAU,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
,KURSUS LIVE CHAT DAN MOBILE LIVE CHAT ,12 JULAI 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),WEBINAR,FUNGSIONAL,PENGURUSAN PROJEK,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
169,HANDLING DEFECTS IN WATERPROOFING WORKS FOR BUILDINGS,13 JULAI 2021,HARTAMAS ACADEMY RESOURCES SDN BHD,WEBINAR,FUNGSIONAL,KEJURUTERAAN AWAM,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
171,SESI PERKONGSIAN ILMU (SPI) : PEMANTAPAN NORMA BAHARU PEGAWAI PENYIASAT PBT,13 JULAI 2021,INSTITUT LATIHAN PERUMAHAN DAN KERAJAAN TEMPATAN (I-KPKT),WEBINAR,GENERIK,KEPIMPINAN DAN PEMBANGUNAN EKSEKUTIF,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
182,CO-HOST CAPACITY BUILDING TRAINING ON ENERGY EFFICIENCY WITH DANISH EFFICIENCY PARTNERS (DEEP),15 JULAI - 21 OKTOBER 2021,IMT - GT SUBREGIONAL COOPERATION (CIMT),WEBINAR,FUNGSIONAL,PERANCANGAN PEMBANGUNAN,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
184,PENGURUSAN SISA PEPEJAL BERSEPADU KE ARAH EKONOMI KITARAN,19 JULAI 2021,KEMENTERIAN PERUMAHAN DAN KERAJAAN TEMPATAN (KPKT),WEBINAR,FUNGSIONAL,PENGURUSAN AMALAN HIJAU,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
185,BENGKEL ISO 37001 : 2016 ANTI BRIBERY MANAGEMENT SYSTEMS (ABMS),21 & 22 JULAI 2021,PSUKPP,WEBINAR,FUNGSIONAL,UNDANG-UNDANG DAN DASAR,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
187,INNOVATIVE & RESILIENT MINDSET,22 JULAI 2021,PRIMA LINK,WEBINAR,GENERIK,MOTIVASI DAN PEMANTAPAN DIRI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
231,KASPACES NATIONAL WEBINAR : WEBINAR,26 JULAI 2021,"KERAJAAN NEGERI MELAKA, ICLEI SOUTHEAST ASIA (ICLEI SEAS)",WEBINAR,FUNGSIONAL,PENGURUSAN PROJEK,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
234,RESHAPING THE URBAN LANDSCAPE : ADVANCING GREEN SOLUTIONS IN THE DISRUPTED WORLD,26 & 27 JULAI 2021,CITYNET,WEBINAR,FUNGSIONAL,PENGURUSAN AMALAN HIJAU,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
240,MANAGE & ENHANCE STRATIFIED PROPERTY WITH TECHNOLOGY,27 JULAI 2021,HARTAMAS ACADEMY RESOURCES SDN BHD,WEBINAR,FUNGSIONAL,PENGURUSAN HARTA,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
248,PEMBINAAN KEMAHIRAN DAN KEUPAYAAN BAGI PEMBANGUNAN BANDAR MAMPAN DAN HIJAU,27 & 28 JULAI 2021,MALAYSIAN INDUSTRY-GOVERNMENT GROUP FOR HIGH TECHNOLOGY (MIGHT),WEBINAR,FUNGSIONAL,PENGURUSAN AMALAN HIJAU,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
254,TRANSLATING CONCEPT TO BANKABLE PROJECTS - AN UP CLOSE WITH SMART CITIES ENABLERS,29 JULAI 2021,MALAYSIAN INDUSTRY-GOVERNMENT GROUP FOR HIGH TECHNOLOGY (MIGHT),WEBINAR,GENERIK,INFORMASI,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
260,ONLINE SEMINAR : WOMEN IN LOCAL GOVERNMENT - CAN MENTORING MAKE A DIFFERENCE,29 JULAI 2021,COMMONWEALTH LOCAL GOVERNMENT FORUM (CLGF),WEBINAR,GENERIK,INFORMASI,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
276,GREENING MALAYSIA : MASS FLOWERING OF THE MALAYSIAN RAINFOREST,30 JULAI 2021,KEMENTERIAN TENAGA DAN SUMBER ASLI (KETSA),WEBINAR,FUNGSIONAL,PENGURUSAN AMALAN HIJAU,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
277,FORUM DASAR NEGARA BAGI AMALAN BAIK PERATURAN (NPGRP),30 JULAI 2021,PERBADANAN PRODUKTIVITI MALAYSIA (MPC),WEBINAR,GENERIK,KEPIMPINAN DAN PEMBANGUNAN EKSEKUTIF,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
BIL,NAMA KURSUS,TARIKH,ANJURAN,TEMPAT,JENIS TERAS,TERAS LATIHAN,DOMAINS,KAEDAH LATIHAN
1,TAKLIMAT PELAN TINDAKAN AKSESIBILITI ORANG KURANG UPAYA DI BAWAH ASPEK PERSEKITARAN FIZIKAL BAGI PANDUAN PELAKSANAAN OLEH PIHAK BERKUASA TEMPATAN BAGI ZON TIMUR DAN ZON UTARA,2 OGOS 2021,KEMENTERIAN PERUMAHAN DAN KERAJAAN TEMPATAN (KPKT),WEBINAR,FUNGSIONAL,PENGURUSAN PROJEK,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
6,MAJLIS PELANCARAN DASAR KEBUN KOMUNITI BANDAR (DKKB),3 OGOS 2021,KEMENTERIAN PERUMAHAN DAN KERAJAAN TEMPATAN (KPKT),WEBINAR,FUNGSIONAL,PERANCANGAN PEMBANGUNAN,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
10,KURSUS ETIKA KERJA : PERANAN PENYELIA,4 OGOS 2021,INTAN,WEBINAR,FUNGSIONAL,PENGURUSAN SUMBER MANUSIA,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
12,TAKLIMAT KESELAMATAN DAN KESIHATAN DI TEMPAT KERJA SEMASA PANDEMIK COVID-19,4 OGOS 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),WEBINAR,GENERIK,KESIHATAN DAN KECERDASAN,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
177,GLOBAL FUTURE CITIES PROGRAMME WEBINAR,5 OGOS 2021,UN HABITAT,WEBINAR,FUNGSIONAL,PERANCANGAN PEMBANGUNAN,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
180,WELCOMING GEN Z AT WORKPLACE,5 OGOS 2021,ACT CONSULTING ,WEBINAR,GENERIK,KOMUNIKASI DAN MEDIA SOSIAL,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
184,BENGKEL ISO 37001 : 2016 ANTI BRIBERY MANAGEMENT SYSTEMS (ABMS) SIRI 2 & 3,5 & 6 OGOS 2021,PSUKPP,WEBINAR,FUNGSIONAL,UNDANG-UNDANG DAN DASAR,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
186,HAPPY & EFFECTIVE WORKING FROM HOME,9 OGOS 2021,ACT CONSULTING ,WEBINAR,GENERIK,MOTIVASI DAN PEMANTAPAN DIRI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
203,WORKING POSTURE AND MANUAL HANDLING HAZARDS,9 OGOS 2021,NIOSH,WEBINAR,FUNGSIONAL,KESIHATAN DAN KECERDASAN,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
204,PERBINCANGAN BERKENAAN EKSPO 2020 DUBAI,9 OGOS 2021,KEMENTERIAN ALAM SEKITAR DAN AIR (KASA),WEBINAR,FUNGSIONAL,PENGURUSAN PROJEK,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
205,DO YOU HAVE CORONAPHOBIA? - UNDERSTANDING WHY OBSESSING IS VERY BAD FOR YOU,10 OGOS 2021,ASTRO AWANI | LINC,WEBINAR,GENERIK,KESIHATAN DAN KECERDASAN,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
219,TYPES OF CONDITIONAL AGREEMENTS AND ITS LEGAL IMPLICATIONS,11 OGOS 2021,HARTAMAS ACADEMY RESOURCES SDN BHD,WEBINAR,FUNGSIONAL,UNDANG-UNDANG DAN DASAR,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
220,BAHAGIA DAN PRODUKTIF DI MASA PANDEMIK,11 OGOS 2021,ACT CONSULTING ,WEBINAR,GENERIK,MOTIVASI DAN PEMANTAPAN DIRI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
244,BENGKEL ISO 37001 : 2016 ANTI BRIBERY MANAGEMENT SYSTEMS (ABMS) INTERNAL AUDITING,12 & 13 OGOS 2021,PSUKPP,WEBINAR,GENERIK,INTEGRITI,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
247,VAKSIN HATI,13 OGOS 2021,ACT CONSULTING ,WEBINAR,GENERIK,MOTIVASI DAN PEMANTAPAN DIRI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
277,PENANG TEACHING CONFERENCE FOR GENERAL PRACTITIONERS,13 - 15 OGOS 2021,MALAYSIAN MEDICAL ASSOCIATION PENANG BRANCH,WEBINAR,FUNGSIONAL,KESIHATAN PERSEKITARAN,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
281,KURSUS PELAKSANAAN REKA BENTUK SEJAGAT BERDASARKAN MS1184 DALAM PEMBANGUNAN SEDIA ADA SIRI 2/2021,16 - 17 OGOS 2021,KEMENTERIAN PERUMAHAN DAN KERAJAAN TEMPATAN (KPKT),WEBINAR,FUNGSIONAL,PERANCANGAN PEMBANGUNAN,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
285,BENGKEL BAGI PERANCANGAN PEMBANGUNAN PROJEK PESISIR TIMUR (EAST SEAFRONT) PULAU PINANG,17 OGOS 2021,"PERBADANAN KETUA MENTERI (CMI), PSUKPP",WEBINAR,FUNGSIONAL,PERANCANGAN PEMBANGUNAN,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
290,PIALA INOVASI MALA 2020 (PIALA YB MENTERI KPKT),17 OGOS 2021,KEMENTERIAN PERUMAHAN DAN KERAJAAN TEMPATAN (KPKT),WEBINAR,GENERIK,KOMUNIKASI DAN MEDIA SOSIAL,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
295,MAJLIS PERASMIAN DAN PERSIDANGAN DIGITAL SEKTOR AWAM 2021,19 OGOS 2021,MAMPU,WEBINAR,GENERIK,INFORMASI,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
297,WEBINAR PEMERKASAAN SYARIAH MEMBANGUN KHAIRA UMMAH : PENYELEWENGAN AKIDAH DAN KESAN DALAM MEMBENTUK KHAIRA UMMAH ,19 OGOS 2021,JABATAN HAL EHWAL ISLAM PULAU PINANG & MASJID ABDULLAH FAHIM,WEBINAR,GENERIK,MOTIVASI DAN PEMANTAPAN DIRI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
326,RSOG WEBINAR 12/2021 : WORK IN PROGRESS,20 OGOS 2021,RAZAK SCHOOL OF GOVERNMENT (RSOG),WEBINAR,GENERIK,PENGURUSAN PEJABAT,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
328,MOTIVASI PEMBENTUKAN JATI DIRI : MOTIVASI KONSTRUKTIVSME DIRI,21 OGOS 2021,AKADEMI PROFESIONAL INTELEK ,WEBINAR,GENERIK,MOTIVASI DAN PEMANTAPAN DIRI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
332,PROGRAM TRANSFORMASI MINDA (PTM) SIRI 2 TAHUN 2021,23 - 26 OGOS 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),WEBINAR,FUNGSIONAL,PENGURUSAN SUMBER MANUSIA,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
362,ANALISIS PERMINTAAN HARTANAH KEDIAMAN SEKUNDER MALAYSIA SEPARUH PERTAMA 2021,24 OGOS 2021,IPROPERTY.COM SDN BHD,WEBINAR,FUNGSIONAL,PENGURUSAN HARTA,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
364,KURSUS CPD : HOW TO CONDUCT A PROPER HANDOVER OF A STRATA AND LANDED DEVELOPMENT,24 - 25 OGOS 2021,HARTAMAS ACADEMY RESOURCES SDN BHD,WEBINAR,FUNGSIONAL,PENGURUSAN HARTA,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
365,SESI SEBARAN GARIS PANDUAN PERANCANGAN PLANMALAYSIA BAGI ZON UTARA TAHUN 2021,25 OGOS 2021,PLANMALAYSIA,WEBINAR,FUNGSIONAL,PENGURUSAN HARTA,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
366,WEBINAR PENILAIAN IMPAK SOSIAL NEGERI SELANGOR,28 OGOS 2021,"KELAB SUKAN KEBAJIKAN (KSKR), JPBD NEGERI SELANGOR",WEBINAR,GENERIK,KOMUNIKASI DAN MEDIA SOSIAL,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
369,PROGRAM TERAPI MINDA : KESIHATAN MENTAL PEKERJA DAN KELUARGA 2021,25 OGOS 2021,LEMBAGA PENDUDUK DAN PEMBANGUNAN KELUARGA NEGARA (LPPKN),WEBINAR,GENERIK,MOTIVASI DAN PEMANTAPAN DIRI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
412,MOTIVASI RESET MINDA DAN SEMANGAT,25 OGOS 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),WEBINAR,GENERIK,MOTIVASI DAN PEMANTAPAN DIRI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
512,4TH WEGO AWARDS : MEET THE WINNERS WEBINARS,26 OGOS & 14 SEPTEMBER 2021,WEGO,WEBINAR,GENERIK,INFORMASI,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
532,"WEBINAR BUAL BICARA BERSAMA AHLI PARLIMEN YB SENATOR DATUK RAS ADIBA MOHD RADZI ""HOW TO HANDLE MEDIA EFFECTIVELY""",27 OGOS 2021,EXCO WANITA PERSATUAN PERKHIDMATAN TADBIR DAN DIPLOMATIK (PPTD),WEBINAR,FUNGSIONAL,KEMAHIRAN,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
542,KURSUS PEMANDUAN BERHEMAH DAN PENYELENGGARAAN KENDERAAN,28 OGOS 2021,AKADEMI PROFESIONAL INTELEK ,WEBINAR,FUNGSIONAL,KEMAHIRAN,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
549,KURSUS INTERPRETATION OF ISO 45001:2018 ,30 OGOS 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),WEBINAR,FUNGSIONAL,UNDANG-UNDANG DAN DASAR,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
616,Program SHARE-HRMIS Dalam Talian Siri 19/2021,30 OGOS 2021,"Bahagian Pembangunan dan Pengurusan Maklumat Strategik, Jabatan Perkhidmatan Awam (JPA)",WEBINAR,FUNGSIONAL,PENGURUSAN SUMBER MANUSIA,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
621,PROGRAM TRANSFORMASI MINDA (PTM) SIRI 1 TAHUN 2021,16 - 19 OGOS 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),WEBINAR,FUNGSIONAL,PENGURUSAN SUMBER MANUSIA,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
