18,BENGKEL PENYEDIAAN GARIS PANDUAN TAPAK PEMPROSESAN SISA-SISA BAHAN BINAAN BAGI TUJUAN KITAR SEMULA,9 APRIL 2021,MAJLIS BANDARAYA SEBERANG PERAI (MBSP),"HOTEL IXORA, PERAI, PULAU PINANG",FUNGSIONAL,PENGURUSAN AMALAN HIJAU,SMART ENVIRONMENT,BERSEMUKA (OFFLINE)
19,SEMINAR ASAS PENGIRING DAN PEMANDUAN VIP,11 APRIL 2021,PERSATUAN KEBAJIKAN PENGAWAL PERIBADI PULAU PINANG,DEWAN SEMINAR ICONIC HOTEL ARAS 7,FUNGSIONAL,KEMAHIRAN,SMART MOBILITY,BERSEMUKA (OFFLINE)
20,BENGKEL SUAI MESRA AKRAB TAHUN 2021 PENTADBIRAN SETIAUSAHA KERAJAAN NEGARI PULAU PINANG,12 APRIL 2021 ,PSUKPP,"HOTEL SERI MALAYSIA KEPALA BATAS, PULAU PINANG",GENERIK,PROTOKOL DAN ETIKET SOSIAL,SMART SOSIAL,BERSEMUKA (OFFLINE)
21,5 ISU KRITIKAL SUMBER MANUSIA (HRD&HRM) DALAM ERA NORMA BAHARU,12 APRIL 2021 ,ABH INSPIRE GLOBAL,WEBINAR,FUNGSIONAL,PENGURUSAN SUMBER MANUSIA,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
22,BENGKEL PENGURUSAN PERUBAHAN UNTUK CHAMPIONS AND CHANGE AGENTS MAJLIS BANDARAYA PULAU PINANG BAGI PENANG SMART PARKING,12 APRIL 2021 ,HEITECH PADU BERHAD,"HOTEL JEN , PENANG",FUNGSIONAL,PENGURUSAN PROJEK,SMART MOBILITY,BERSEMUKA (OFFLINE)
23,ICLEI WORLD CONGRESS 2021-2022 : VIRTUAL LAUNCH,13-15 APRIL 2021,LOCAL GOVERNMENT FOR SUSTAINABILITY,ZOOM,GENERIK,INOVASI DAN KREATIVITI,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
24,TAKLIMAT MENGENAI GERAN PEMANGKIN BANDAR RENDAH KARBON (GeRAK),15 APRIL 2021,KEMENTERIAAN ALAM SEKITAR (KASA),ZOOM,FUNGSIONAL,PENGURUSAN AMALAN HIJAU,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
25,"LEBARAN DIRAI, SOP DIPATUHI",16 APRIL 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),ZOOM,GENERIK,KESELAMATAN,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
26,KURSUS PELAKSANAAN REKABENTUK SEJAGAT BERDASARKAN MS1184 DI PEMBANGUNAN SEDIA ADA SIRI 1/2021,19 APRIL 2021,JABATAN KERAJAAN TEMPATAN (JKT),WEBINAR,FUNGSIONAL,PERANCANGAN PEMBANGUNAN,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
27,"KEJIRANAN HIJAU WEBINAR : ""SEDEKAD MELESTARI KEHIDUPAN""",19 APRIL 2021,PLANMALAYSIA,WEBEX,FUNGSIONAL,PENGURUSAN AMALAN HIJAU,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
