BIL,NAMA_KURSUS,TARIKH_MULA,TARIKH_AKHIR,ANJURAN,TEMPAT,JENIS_TERAS,TERAS_LATIHAN,DOMAINS,KAEDAH_LATIHAN
304,TAKLIMAT TAKAFUL PENGHOSPITALAN DAN PEMBEDAHAN CUEPACSCARE & PROGRAM TAKAFUL KEMALANGAN DIRI PA- KHAS UNTUK PENJAWAT AWAM,2021-05-20,2021-05-20,7466eef1-51ea-4860-9813-b22cf45e2a4e,ZOOM,GN,7ce970e0-e82a-4889-b6f4-87313161bb03,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
422,KURSUS PENGENDALIAN BUKU REKOD PERKHIDMATAN,2021-05-21,2021-05-21,3d1014b5-d3fb-4369-bec9-bdf4d16c1a89,ZOOM,GN,6dde3724-7416-45f0-8fc8-e1c0cb92aef6,2f540625-6835-4afc-8938-903a85b34155,TB
459,"KURSUS PENULISAN DOKUMEN RASMI KERAJAAN (MINIT MESYUARAT, KERTAS KERJA, LAPORAN)",2021-05-24,2021-05-24,2d904241-fba1-4fea-b511-9b325e566905,WEBINAR,FN,d2addd1d-4b15-4115-9ec3-9468b26721d6,2f540625-6835-4afc-8938-903a85b34155,TB
460,BENGKEL PENYEDIAAN LAPORAN TRAFFIC IMPACT ASSESSMENT (TIA) CHECKLIST & GUIDELINES FOR LOCAL COUNCILS,2021-05-24,2021-05-24,af5ccaa2-60aa-467f-8657-ecff9bef49bc,WEBINAR,GN,ac803436-f75e-49cc-a7af-9dd49e6b8486,2f540625-6835-4afc-8938-903a85b34155,TB
480,"[POST- COVID19 ECONOMIC DEVELOPMENT SERIES 1] ACCELERATING DIGITAL TRANFORMATION, SHAPING POLICIES, BOOSTING SHARED PROSPERITY",2021-05-26,2021-05-28,UNITED NATIONS INSTITUTE FOR TRAINING AND RESEARCH (UNITAR),WEBINAR,FN,f80efc1e-da7c-445b-b371-44ed76151f43,2f540625-6835-4afc-8938-903a85b34155,TB
483,EXECUTIVE TALK : PEGAWAI BERKUATKUASAAN BUKAN UNTUK DIGERUNI,2021-05-27,2021-05-27,bc6c2bdf-d056-492d-b58c-a0be8b81f0f0,WEBEX,GN,83c36b75-c03e-418d-a410-71d146006b8e,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
496,PERC- MNCC & GLENEAGLES HOSPITAL COMLIMENTARY TALK ON STRESS MANAGEMENT & WORKOUT SESSION,2021-05-29,2021-05-29,689e3d22-7494-4c81-96f4-afce1ddaf911,WEBINAR,GN,aaf2682c-20a1-4c71-9034-20d40d70a369,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
,Kursus Pengurusan Fail dan Rekod Efektif,2021-06-02,2021-06-09,7466eef1-51ea-4860-9813-b22cf45e2a4e,,FN,d2addd1d-4b15-4115-9ec3-9468b26721d6,2f540625-6835-4afc-8938-903a85b34155,TB
1,COVID-19 : SEMBANG BERSAMA PESAKIT DAN KELUARGA,2021-06-04,2021-06-04,a513589c-6cb0-45a4-9486-5712a289c590,WEBINAR,GN,aaf2682c-20a1-4c71-9034-20d40d70a369,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
6,"MOTIVASI MEMPERKASA DIRI, MINDA-BEKERJA DALAM SITUASI PANDEMIK",2021-06-04,2021-06-04,edd171ab-57b7-44b6-a29f-38d108dea04f,WEBINAR,GN,1d124872-fd61-4990-98f9-3a0e48003097,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
