BIL,NAMA_KURSUS,TARIKH_MULA,TARIKH_AKHIR,ANJURAN,TEMPAT,JENIS_TERAS,TERAS_LATIHAN,DOMAINS,KAEDAH_LATIHAN
580,TAKLIMAT VAKSIN COVID-19,2021-06-29,2021-06-29,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,GN,aaf2682c-20a1-4c71-9034-20d40d70a369,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
588,SEMINAR KELESTARIAN INTERGRITI,2021-06-29,2021-06-29,7466eef1-51ea-4860-9813-b22cf45e2a4e,,GN,0543e995-7f94-45c4-a1a3-9712aa7dbabb,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
589,"ROAD TO RECOVERY SERIES (SEASON 2, EPISODE 5 ) MALAYSIA SMART CITIES OUTLOOK: REVIEW CURRENT, ENVISION TOMORROW",2021-06-29,2021-06-29,03d8d036-9d17-4c01-ac7c-900f3ea4ff83,WEBINAR,FN,4624d854-ce8d-46a7-9cc7-4721cfadc45e,2f540625-6835-4afc-8938-903a85b34155,TB
597,FORGERIES AND FRAUD IN REAL ESTATE TRANSACTIONS,2021-06-29,2021-06-29,7f49019d-bd09-4a06-9492-6cb73acca1dd,WEBINAR,FN,100a4423-5c8d-4cc5-ac76-aacfa3828403,2f540625-6835-4afc-8938-903a85b34155,TB
606,MEMPERKASA INTEGRITI SECARA MAGICAL,2021-06-29,2021-06-29,d9a16b39-ac20-4e83-b4c0-4b96ea4c4e6d,HYBRID,GN,0543e995-7f94-45c4-a1a3-9712aa7dbabb,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
611,"SEMINAR KELESTARIAN INTERGRITI BERTEMAKAN "" PEMATUHAN PROSEDUR STANDART (SOP)  PERINTAH KAWALAN PERGERAKKAN (PKP) : BERINTERGRITIKAH KITA?",2021-06-29,2021-06-29,7466eef1-51ea-4860-9813-b22cf45e2a4e,,GN,0543e995-7f94-45c4-a1a3-9712aa7dbabb,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
612,WMAM TRAINING SERIES : EFFECTIVE WASTE COLLECTION & OPTIMISATION,2021-06-30,2021-06-30,ea178e63-b442-44bb-97f1-9c64b9747e0f,WEBINAR,FN,fd5c820c-c63f-4276-8d74-9c5555a73a69,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
614,TAKLIMAT VAKSIN COVID-19,2021-06-30,2021-06-30,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,GN,aaf2682c-20a1-4c71-9034-20d40d70a369,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
683,BDR: KERJA VS KELUARGA,2021-06-30,2021-06-30,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,GN,0543e995-7f94-45c4-a1a3-9712aa7dbabb,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
801,PENGESAHAN KURSUS : WACANA LEGASI LANDSKAP MELAYU DAN PERKAMPUNGAN KUCHAI PERAK,2021-06-30,2021-06-30,bc6c2bdf-d056-492d-b58c-a0be8b81f0f0,WEBINAR,FN,0f54455b-c897-40cb-bb67-ff1769466226,2f540625-6835-4afc-8938-903a85b34155,TB
804,WASTED MANAGEMENT IN SUSTAINABLE AND SMART CITIES,2021-06-30,2021-06-30,7466eef1-51ea-4860-9813-b22cf45e2a4e,,FN,4624d854-ce8d-46a7-9cc7-4721cfadc45e,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
1,TAKLIMAT PENGGUNAAN BAHAN KIMIA DAN PERALATAN KAWALAN VEKTOR,2021-07-01,2021-07-01,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,FN,f999f1a9-28c8-4906-9022-42f514e98a58,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
79,WASTE MANAGEMENT IN SUSTAINABLE & SMART CITIES,2021-07-01,2021-07-01,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,FN,0f54455b-c897-40cb-bb67-ff1769466226,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
81,SUSTAINABLE CONCRETE SOLUTION FOR LANDSCAPE DESIGN,2021-07-02,2021-07-02,7439743d-1da3-46f6-9b61-34c272a1093a,WEBINAR,FN,0f54455b-c897-40cb-bb67-ff1769466226,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
85,KEMAHIRAN  PSIKOLOGI PENGURUSAN STRES KEMANUSIAAN SEMASA PANDEMIK,2021-07-02,2021-07-02,edd171ab-57b7-44b6-a29f-38d108dea04f,WEBINAR,GN,1d124872-fd61-4990-98f9-3a0e48003097,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
86,GENERATING INNOVATIONS FOR GROWTH (GIG) PROGRAM,2021-07-05,2021-07-08,c6de0e2a-d76d-45a5-9671-5211eff38bde,KEYSIGHT TECHNOLOGIES PENANG,GN,2481ba73-4476-434c-a3c3-5a911fb1fa2e,0964adc3-2538-49f1-94dc-53aa434b8aa8,BS
88,LEGAL ISSUES & PROCESS RELATING TO LAND ACQUISITION ,2021-07-06,2021-07-06,7f49019d-bd09-4a06-9492-6cb73acca1dd,WEBINAR,FN,100a4423-5c8d-4cc5-ac76-aacfa3828403,2f540625-6835-4afc-8938-903a85b34155,TB
,TAKLIMAT IMUNISASI COVID-19 PERINGKAT 2,2021-07-08,2021-07-08,7466eef1-51ea-4860-9813-b22cf45e2a4e,ZOOM,GN,aaf2682c-20a1-4c71-9034-20d40d70a369,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
97,KURSUS 'COVID-19 AND WORK : STAYING HEALTHY AND SAFE AT WORK DURING COVID-19 PANDEMIC',2021-07-08,2021-07-08,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,GN,aaf2682c-20a1-4c71-9034-20d40d70a369,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
158,WFH IKHLAS TAPI JAUH ,2021-07-08,2021-07-08,b3c52fb6-74e1-4cae-abdc-901b2a65e781,WEBINAR,GN,0543e995-7f94-45c4-a1a3-9712aa7dbabb,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
168,SESI LIBAT URUS TRANSFORMASI PENGURUSAN SISA PEPEJAL KE ARAH PELAKSANAAN EKONOMI KITARAN BERSAMA PIHAK BERKUASA NEGERI (PBN) DAN BERKUASA TEMPATAN,2021-07-12,2021-07-12,c85b8f2b-795c-40c0-9a43-b2f322b1c412,WEBINAR,FN,fd5c820c-c63f-4276-8d74-9c5555a73a69,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
,KURSUS LIVE CHAT DAN MOBILE LIVE CHAT ,2021-07-12,2021-07-12,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,FN,0f54455b-c897-40cb-bb67-ff1769466226,2f540625-6835-4afc-8938-903a85b34155,TB
169,HANDLING DEFECTS IN WATERPROOFING WORKS FOR BUILDINGS,2021-07-13,2021-07-13,7f49019d-bd09-4a06-9492-6cb73acca1dd,WEBINAR,FN,ead68422-4e58-435c-89e4-de8735341dd9,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
171,SESI PERKONGSIAN ILMU (SPI) : PEMANTAPAN NORMA BAHARU PEGAWAI PENYIASAT PBT,2021-07-13,2021-07-13,bc6c2bdf-d056-492d-b58c-a0be8b81f0f0,WEBINAR,GN,83c36b75-c03e-418d-a410-71d146006b8e,2f540625-6835-4afc-8938-903a85b34155,TB
182,CO-HOST CAPACITY BUILDING TRAINING ON ENERGY EFFICIENCY WITH DANISH EFFICIENCY PARTNERS (DEEP),2021-07-15,2021-10-21,e14fa390-9d48-4681-b4a4-69a6e5653741,WEBINAR,FN,4624d854-ce8d-46a7-9cc7-4721cfadc45e,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
184,PENGURUSAN SISA PEPEJAL BERSEPADU KE ARAH EKONOMI KITARAN,2021-07-19,2021-07-19,c85b8f2b-795c-40c0-9a43-b2f322b1c412,WEBINAR,FN,fd5c820c-c63f-4276-8d74-9c5555a73a69,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
185,BENGKEL ISO 37001 : 2016 ANTI BRIBERY MANAGEMENT SYSTEMS (ABMS),2021-07-21,2021-07-22,833fea23-b366-4189-b72c-29b2173f3405,WEBINAR,FN,f80efc1e-da7c-445b-b371-44ed76151f43,2f540625-6835-4afc-8938-903a85b34155,TB
187,INNOVATIVE & RESILIENT MINDSET,2021-07-22,2021-07-22,1cd4f21e-f1c3-405a-a9a5-36d11b1fd6c4,WEBINAR,GN,1d124872-fd61-4990-98f9-3a0e48003097,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
231,KASPACES NATIONAL WEBINAR : WEBINAR,2021-07-26,2021-07-26,aad714fb-c19b-47af-ad41-7247e519a346,WEBINAR,FN,0f54455b-c897-40cb-bb67-ff1769466226,2f540625-6835-4afc-8938-903a85b34155,TB
234,RESHAPING THE URBAN LANDSCAPE : ADVANCING GREEN SOLUTIONS IN THE DISRUPTED WORLD,2021-07-26,2021-07-27,5ddc85de-41ea-4cf5-a1e5-1f4949a0ae59,WEBINAR,FN,fd5c820c-c63f-4276-8d74-9c5555a73a69,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
240,MANAGE & ENHANCE STRATIFIED PROPERTY WITH TECHNOLOGY,2021-07-27,2021-07-27,7f49019d-bd09-4a06-9492-6cb73acca1dd,WEBINAR,FN,100a4423-5c8d-4cc5-ac76-aacfa3828403,2f540625-6835-4afc-8938-903a85b34155,TB
248,PEMBINAAN KEMAHIRAN DAN KEUPAYAAN BAGI PEMBANGUNAN BANDAR MAMPAN DAN HIJAU,2021-07-27,2021-07-28,995b837b-a618-4f36-a785-d2c744e01485,WEBINAR,FN,fd5c820c-c63f-4276-8d74-9c5555a73a69,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
254,TRANSLATING CONCEPT TO BANKABLE PROJECTS - AN UP CLOSE WITH SMART CITIES ENABLERS,2021-07-29,2021-07-29,995b837b-a618-4f36-a785-d2c744e01485,WEBINAR,GN,4243a7ab-99bd-472b-a76d-1bbd45eb06d8,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
260,ONLINE SEMINAR : WOMEN IN LOCAL GOVERNMENT - CAN MENTORING MAKE A DIFFERENCE,2021-07-29,2021-07-29,a42f6fe8-34b1-483f-82cc-965a41fe52f7,WEBINAR,GN,4243a7ab-99bd-472b-a76d-1bbd45eb06d8,2f540625-6835-4afc-8938-903a85b34155,TB
276,GREENING MALAYSIA : MASS FLOWERING OF THE MALAYSIAN RAINFOREST,2021-07-30,2021-07-30,7c70acba-fbc1-4388-8dcd-81e0ced55d7e,WEBINAR,FN,fd5c820c-c63f-4276-8d74-9c5555a73a69,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
277,FORUM DASAR NEGARA BAGI AMALAN BAIK PERATURAN (NPGRP),2021-07-30,2021-07-30,643b57b5-c237-4085-80a6-42932ca91e4f,WEBINAR,GN,83c36b75-c03e-418d-a410-71d146006b8e,2f540625-6835-4afc-8938-903a85b34155,TB
1,TAKLIMAT PELAN TINDAKAN AKSESIBILITI ORANG KURANG UPAYA DI BAWAH ASPEK PERSEKITARAN FIZIKAL BAGI PANDUAN PELAKSANAAN OLEH PIHAK BERKUASA TEMPATAN BAGI ZON TIMUR DAN ZON UTARA,2021-08-02,2021-08-02,c85b8f2b-795c-40c0-9a43-b2f322b1c412,WEBINAR,FN,0f54455b-c897-40cb-bb67-ff1769466226,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
6,MAJLIS PELANCARAN DASAR KEBUN KOMUNITI BANDAR (DKKB),2021-08-03,2021-08-03,c85b8f2b-795c-40c0-9a43-b2f322b1c412,WEBINAR,FN,4624d854-ce8d-46a7-9cc7-4721cfadc45e,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
10,KURSUS ETIKA KERJA : PERANAN PENYELIA,2021-08-04,2021-08-04,2d904241-fba1-4fea-b511-9b325e566905,WEBINAR,FN,f0bc355f-c2bd-4dfc-889d-cb3abe08173e,2f540625-6835-4afc-8938-903a85b34155,TB
12,TAKLIMAT KESELAMATAN DAN KESIHATAN DI TEMPAT KERJA SEMASA PANDEMIK COVID-19,2021-08-04,2021-08-04,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,GN,aaf2682c-20a1-4c71-9034-20d40d70a369,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
177,GLOBAL FUTURE CITIES PROGRAMME WEBINAR,2021-08-05,2021-08-05,9bad2bbe-78a0-4ef2-b7d4-9250670adb39,WEBINAR,FN,4624d854-ce8d-46a7-9cc7-4721cfadc45e,2f540625-6835-4afc-8938-903a85b34155,TB
180,WELCOMING GEN Z AT WORKPLACE,2021-08-05,2021-08-05,14499ea2-e3be-40e2-9792-ff26e52bba1e,WEBINAR,GN,4c398e32-d9f6-4d04-9d0d-6aa3e028c158,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
184,BENGKEL ISO 37001 : 2016 ANTI BRIBERY MANAGEMENT SYSTEMS (ABMS) SIRI 2 & 3,2021-08-05,2021-08-06,833fea23-b366-4189-b72c-29b2173f3405,WEBINAR,FN,f80efc1e-da7c-445b-b371-44ed76151f43,2f540625-6835-4afc-8938-903a85b34155,TB
186,HAPPY & EFFECTIVE WORKING FROM HOME,2021-08-09,2021-08-09,14499ea2-e3be-40e2-9792-ff26e52bba1e,WEBINAR,GN,1d124872-fd61-4990-98f9-3a0e48003097,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
203,WORKING POSTURE AND MANUAL HANDLING HAZARDS,2021-08-09,2021-08-09,55244c50-76e8-4ff5-a464-c472a34ced9f,WEBINAR,FN,aaf2682c-20a1-4c71-9034-20d40d70a369,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
204,PERBINCANGAN BERKENAAN EKSPO 2020 DUBAI,2021-08-09,2021-08-09,9e2b77b3-5242-4a6f-af47-82827fcb573c,WEBINAR,FN,0f54455b-c897-40cb-bb67-ff1769466226,2f540625-6835-4afc-8938-903a85b34155,TB
205,DO YOU HAVE CORONAPHOBIA? - UNDERSTANDING WHY OBSESSING IS VERY BAD FOR YOU,2021-08-10,2021-08-10,59006bee-85cb-43bb-b5a1-168ef78cc445,WEBINAR,GN,aaf2682c-20a1-4c71-9034-20d40d70a369,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
219,TYPES OF CONDITIONAL AGREEMENTS AND ITS LEGAL IMPLICATIONS,2021-08-11,2021-08-11,7f49019d-bd09-4a06-9492-6cb73acca1dd,WEBINAR,FN,f80efc1e-da7c-445b-b371-44ed76151f43,2f540625-6835-4afc-8938-903a85b34155,TB
220,BAHAGIA DAN PRODUKTIF DI MASA PANDEMIK,2021-08-11,2021-08-11,14499ea2-e3be-40e2-9792-ff26e52bba1e,WEBINAR,GN,1d124872-fd61-4990-98f9-3a0e48003097,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
244,BENGKEL ISO 37001 : 2016 ANTI BRIBERY MANAGEMENT SYSTEMS (ABMS) INTERNAL AUDITING,2021-08-12,2021-08-13,833fea23-b366-4189-b72c-29b2173f3405,WEBINAR,GN,0543e995-7f94-45c4-a1a3-9712aa7dbabb,2f540625-6835-4afc-8938-903a85b34155,TB
247,VAKSIN HATI,2021-08-13,2021-08-13,14499ea2-e3be-40e2-9792-ff26e52bba1e,WEBINAR,GN,1d124872-fd61-4990-98f9-3a0e48003097,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
277,PENANG TEACHING CONFERENCE FOR GENERAL PRACTITIONERS,2021-08-13,2021-08-15,74151116-bf1e-41ea-92ed-b312445a78bc,WEBINAR,FN,f999f1a9-28c8-4906-9022-42f514e98a58,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
281,KURSUS PELAKSANAAN REKA BENTUK SEJAGAT BERDASARKAN MS1184 DALAM PEMBANGUNAN SEDIA ADA SIRI 2/2021,2021-08-16,2021-08-17,c85b8f2b-795c-40c0-9a43-b2f322b1c412,WEBINAR,FN,4624d854-ce8d-46a7-9cc7-4721cfadc45e,2f540625-6835-4afc-8938-903a85b34155,TB
285,BENGKEL BAGI PERANCANGAN PEMBANGUNAN PROJEK PESISIR TIMUR (EAST SEAFRONT) PULAU PINANG,2021-08-17,2021-08-17,833fea23-b366-4189-b72c-29b2173f3405,WEBINAR,FN,4624d854-ce8d-46a7-9cc7-4721cfadc45e,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
290,PIALA INOVASI MALA 2020 (PIALA YB MENTERI KPKT),2021-08-17,2021-08-17,c85b8f2b-795c-40c0-9a43-b2f322b1c412,WEBINAR,GN,4c398e32-d9f6-4d04-9d0d-6aa3e028c158,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
295,MAJLIS PERASMIAN DAN PERSIDANGAN DIGITAL SEKTOR AWAM 2021,2021-08-19,2021-08-19,518ade86-7c1d-4b29-87d8-9e519ef4ace0,WEBINAR,GN,4243a7ab-99bd-472b-a76d-1bbd45eb06d8,2f540625-6835-4afc-8938-903a85b34155,TB
297,WEBINAR PEMERKASAAN SYARIAH MEMBANGUN KHAIRA UMMAH : PENYELEWENGAN AKIDAH DAN KESAN DALAM MEMBENTUK KHAIRA UMMAH ,2021-08-19,2021-08-19,797cff77-01f9-44a0-9a4c-31ed17cc193c,WEBINAR,GN,1d124872-fd61-4990-98f9-3a0e48003097,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
326,RSOG WEBINAR 12/2021 : WORK IN PROGRESS,2021-08-20,2021-08-20,b3c52fb6-74e1-4cae-abdc-901b2a65e781,WEBINAR,GN,6dde3724-7416-45f0-8fc8-e1c0cb92aef6,2f540625-6835-4afc-8938-903a85b34155,TB
328,MOTIVASI PEMBENTUKAN JATI DIRI : MOTIVASI KONSTRUKTIVSME DIRI,2021-08-21,2021-08-21,edd171ab-57b7-44b6-a29f-38d108dea04f,WEBINAR,GN,1d124872-fd61-4990-98f9-3a0e48003097,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
332,PROGRAM TRANSFORMASI MINDA (PTM) SIRI 2 TAHUN 2021,2021-08-23,2021-08-26,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,FN,f0bc355f-c2bd-4dfc-889d-cb3abe08173e,2f540625-6835-4afc-8938-903a85b34155,TB
362,ANALISIS PERMINTAAN HARTANAH KEDIAMAN SEKUNDER MALAYSIA SEPARUH PERTAMA 2021,2021-08-24,2021-08-24,1aabbb40-8186-46ef-a0e2-f9a9b9eb1a8a,WEBINAR,FN,100a4423-5c8d-4cc5-ac76-aacfa3828403,2f540625-6835-4afc-8938-903a85b34155,TB
364,KURSUS CPD : HOW TO CONDUCT A PROPER HANDOVER OF A STRATA AND LANDED DEVELOPMENT,2021-08-24,2021-08-25,7f49019d-bd09-4a06-9492-6cb73acca1dd,WEBINAR,FN,100a4423-5c8d-4cc5-ac76-aacfa3828403,2f540625-6835-4afc-8938-903a85b34155,TB
365,SESI SEBARAN GARIS PANDUAN PERANCANGAN PLANMALAYSIA BAGI ZON UTARA TAHUN 2021,2021-08-25,2021-08-25,e08ec7d9-7b55-4440-8088-2f4010ae5645,WEBINAR,FN,100a4423-5c8d-4cc5-ac76-aacfa3828403,2f540625-6835-4afc-8938-903a85b34155,TB
366,WEBINAR PENILAIAN IMPAK SOSIAL NEGERI SELANGOR,2021-08-28,2021-08-28,66bea6da-39b2-4b7c-b9e6-9279b98c2d31,WEBINAR,GN,4c398e32-d9f6-4d04-9d0d-6aa3e028c158,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
369,PROGRAM TERAPI MINDA : KESIHATAN MENTAL PEKERJA DAN KELUARGA 2021,2021-08-25,2021-08-25,24cc5989-9ea7-4a34-b299-55c050506114,WEBINAR,GN,1d124872-fd61-4990-98f9-3a0e48003097,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
412,MOTIVASI RESET MINDA DAN SEMANGAT,2021-08-25,2021-08-25,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,GN,1d124872-fd61-4990-98f9-3a0e48003097,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
512,4TH WEGO AWARDS : MEET THE WINNERS WEBINARS,2021-08-26,2021-09-14,WEGO,WEBINAR,GN,4243a7ab-99bd-472b-a76d-1bbd45eb06d8,2f540625-6835-4afc-8938-903a85b34155,TB
532,"WEBINAR BUAL BICARA BERSAMA AHLI PARLIMEN YB SENATOR DATUK RAS ADIBA MOHD RADZI ""HOW TO HANDLE MEDIA EFFECTIVELY""",2021-08-27,2021-08-27,b07d42fb-6063-4259-93ce-09a125cd3807,WEBINAR,FN,b6df89a3-6ab2-4e15-b7a3-f51120f38a27,2f540625-6835-4afc-8938-903a85b34155,TB
542,KURSUS PEMANDUAN BERHEMAH DAN PENYELENGGARAAN KENDERAAN,2021-08-28,2021-08-28,edd171ab-57b7-44b6-a29f-38d108dea04f,WEBINAR,FN,b6df89a3-6ab2-4e15-b7a3-f51120f38a27,2f540625-6835-4afc-8938-903a85b34155,TB
549,KURSUS INTERPRETATION OF ISO 45001:2018 ,2021-08-30,2021-08-30,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,FN,f80efc1e-da7c-445b-b371-44ed76151f43,2f540625-6835-4afc-8938-903a85b34155,TB
616,Program SHARE-HRMIS Dalam Talian Siri 19/2021,2021-08-30,2021-08-30,8da08e70-b5ea-49e0-bd09-14d3f8fa64a4,WEBINAR,FN,f0bc355f-c2bd-4dfc-889d-cb3abe08173e,2f540625-6835-4afc-8938-903a85b34155,TB
621,PROGRAM TRANSFORMASI MINDA (PTM) SIRI 1 TAHUN 2021,2021-08-16,2021-08-19,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,FN,f0bc355f-c2bd-4dfc-889d-cb3abe08173e,2f540625-6835-4afc-8938-903a85b34155,TB
